"","Week","Adjusted"
"1",2020-03-29,12.0900001525879
"2",2020-04-05,13.7249999046326
"3",2020-04-12,15.5060001373291
"4",2020-04-19,17.7600002288818
"5",2020-04-26,19.3479999542236
"6",2020-05-03,22.6780002593994
"7",2020-05-10,26.2309993743896
"8",2020-05-17,29.2939998626709
"9",2020-05-24,36.3725004196167
"10",2020-05-31,41
"11",2020-06-07,37.9360000610352
"12",2020-06-14,41.1840003967285
"13",2020-06-21,36.643000793457
"14",2020-06-28,33.4324998855591
"15",2020-07-05,32.2739994049072
"16",2020-07-12,32.6550003051758
"17",2020-07-19,36.8939994812012
"18",2020-07-26,34.7600006103516
"19",2020-08-02,33.2600006103516
"20",2020-08-09,33.4700004577637
"21",2020-08-16,35.926000213623
"22",2020-08-23,37.8220008850098
"23",2020-08-30,37.492000579834
"24",2020-09-06,40.3474998474121
"25",2020-09-13,51.2719993591309
"26",2020-09-20,51.8619995117188
"27",2020-09-27,59.4160003662109
"28",2020-10-04,54.1220001220703
"29",2020-10-11,47.7360000610352
"30",2020-10-18,42.8700004577637
"31",2020-10-25,37.8620002746582
"32",2020-11-01,39.6
"33",2020-11-08,41.5180000305176
"34",2020-11-15,46.9139999389648
"35",2020-11-22,49.7249994277954
"36",2020-11-29,50.7099998474121
"37",2020-12-06,49.5839996337891
"38",2020-12-13,52.7960006713867
"39",2020-12-20,52.9350004196167
"40",2020-12-27,48.1450004577637
"41",2021-01-03,48.6410003662109
"42",2021-01-10,54.0479995727539
"43",2021-01-17,52.6400003433228
"44",2021-01-24,53.9800003051758
"45",2021-01-31,60.2180000305176
"46",2021-02-07,61.4139999389648
"47",2021-02-14,59.6374998092651
"48",2021-02-21,60.0519996643066
"49",2021-02-28,64.8960006713867
"50",2021-03-07,67.0700004577637
"51",2021-03-14,69.0260009765625
"52",2021-03-21,67.5119995117188
"53",2021-03-28,60.8525009155273
"54",2021-04-04,62.3880004882812
"55",2021-04-11,58.3220001220703
"56",2021-04-18,57.2919990539551
"57",2021-04-25,58.4339996337891
"58",2021-05-02,53.9400001525879
"59",2021-05-09,43.4680000305176
"60",2021-05-16,44.0779998779297
"61",2021-05-23,49.2180000305176
"62",2021-05-30,50.1450004577637
"63",2021-06-06,54.0159996032715
"64",2021-06-13,49.0400001525879
"65",2021-06-20,50.4839996337891
"66",2021-06-27,51.9979988098145
"67",2021-07-04,49.397500038147
"68",2021-07-11,46.0720001220703
"69",2021-07-18,47.5860008239746
"70",2021-07-25,49.3860008239746
"71",2021-08-01,49.6259994506836
"72",2021-08-08,52.926000213623
"73",2021-08-15,51.8439994812012
"74",2021-08-22,57.5540000915527
"75",2021-08-29,60.1680000305176
"76",2021-09-05,63.2749996185303
"77",2021-09-12,59.9479995727539
"78",2021-09-19,53.0960006713867
"79",2021-09-26,49.6720001220703
"80",2021-10-03,48.8040000915527
"81",2021-10-10,49.0160003662109
"82",2021-10-17,48.3220001220703
"83",2021-10-24,47.4340003967285
"84",2021-10-31,46.3519996643066
"85",2021-11-07,42.0259994506836
"86",2021-11-14,37.8539993286133
"87",2021-11-21,35.8625011444092
"88",2021-11-28,32.1319999694824
"89",2021-12-05,31.4380004882813
"90",2021-12-12,28.1959999084473
"91",2021-12-19,29.3049998283386
"92",2021-12-26,27.6079998016357
"93",2022-01-02,26.4179996490479
"94",2022-01-09,25.3200000762939
"95",2022-01-16,20.9274997711182
