"","Date","DKNG.Open","DKNG.High","DKNG.Low","DKNG.Close","DKNG.Volume","DKNG.Adjusted"
"1",2020-04-01,12.2399997711182,12.2399997711182,11.5500001907349,11.7700004577637,799200,11.7700004577637
"2",2020-04-02,11.75,12.7200002670288,11.451000213623,12.25,1462000,12.25
"3",2020-04-03,12.5799999237061,12.5799999237061,11.3699998855591,12.25,1533500,12.25
"4",2020-04-06,12.3500003814697,12.789999961853,12.2600002288818,12.6099996566772,1525200,12.6099996566772
"5",2020-04-07,13.25,13.9099998474121,12.6800003051758,13.0299997329712,4083800,13.0299997329712
"6",2020-04-08,13.3599996566772,15.2700004577637,13.210000038147,14.75,3268400,14.75
"7",2020-04-09,15.5,15.5,14.0500001907349,14.5100002288818,2377500,14.5100002288818
"8",2020-04-13,14.0799999237061,14.3999996185303,13.6000003814697,14.25,1634600,14.25
"9",2020-04-14,14.5,15.1400003433228,14.0500001907349,14.75,2630700,14.75
"10",2020-04-15,14.6999998092651,15.6800003051758,14.3540000915527,15.4899997711182,2363900,15.4899997711182
"11",2020-04-16,16.1499996185303,16.4500007629395,15.5500001907349,16.0900001525879,2760700,16.0900001525879
"12",2020-04-17,17,17.6800003051758,15.8219995498657,16.9500007629395,3566400,16.9500007629395
"13",2020-04-20,17.1499996185303,18.1900005340576,16.7999992370605,17.5699996948242,2778600,17.5699996948242
"14",2020-04-21,17.7399997711182,18.798999786377,16.6000003814697,17.2000007629395,2448500,17.2000007629395
"15",2020-04-22,17.8899993896484,18.1439990997314,16.8999996185303,17.1499996185303,1640400,17.1499996185303
"16",2020-04-23,17.8099994659424,17.8500003814697,16.1100006103516,17.5300006866455,2797600,17.5300006866455
"17",2020-04-24,20.4939994812012,20.75,17.6000003814697,19.3500003814697,11444900,19.3500003814697
"18",2020-04-27,22.3600006103516,22.5,19.5,19.5200004577637,9594200,19.5200004577637
"19",2020-04-28,19.8600006103516,19.8999996185303,18,18.2399997711182,5725700,18.2399997711182
"20",2020-04-29,18.3500003814697,19.7999992370605,18.3500003814697,19.3999996185303,3649400,19.3999996185303
"21",2020-04-30,19.5,19.8500003814697,18.8799991607666,19.4599990844727,3974800,19.4599990844727
"22",2020-05-01,19.3899993896484,20.3500003814697,19.0100002288818,20.1200008392334,5242400,20.1200008392334
"23",2020-05-04,20.3600006103516,21.7800006866455,19.9500007629395,20.9899997711182,6358100,20.9899997711182
"24",2020-05-05,21.9400005340576,22.1200008392334,21.1499996185303,21.6100006103516,4574100,21.6100006103516
"25",2020-05-06,21.9400005340576,24.4799995422363,21.75,23.8299999237061,9025000,23.8299999237061
"26",2020-05-07,24.2999992370605,26.8500003814697,23.0400009155273,23.5100002288818,13208900,23.5100002288818
"27",2020-05-08,24.3500003814697,24.75,23.17799949646,23.4500007629395,5183000,23.4500007629395
"28",2020-05-11,23.5200004577637,25.1599998474121,23.5,24.4599990844727,7682400,24.4599990844727
"29",2020-05-12,26.1499996185303,28.1499996185303,24.7999992370605,26.2999992370605,17382300,26.2999992370605
"30",2020-05-13,27.4400005340576,27.9500007629395,23.5,25.8549995422363,14175800,25.8549995422363
"31",2020-05-14,26.8500003814697,27.25,25.0200004577637,25.3099994659424,12180000,25.3099994659424
"32",2020-05-15,25.8899993896484,29.3999996185303,25.3500003814697,29.2299995422363,24708100,29.2299995422363
"33",2020-05-18,31.7000007629395,31.7800006866455,28.5,29.5499992370605,17305200,29.5499992370605
"34",2020-05-19,29.5400009155273,30.4099998474121,28.2299995422363,29.5699996948242,8694000,29.5699996948242
"35",2020-05-20,30.1900005340576,30.9969997406006,29.5499992370605,29.6900005340576,5879000,29.6900005340576
"36",2020-05-21,29.8500003814697,29.8899993896484,27.5300006866455,28.5499992370605,7661200,28.5499992370605
"37",2020-05-22,28.4699993133545,29.4799995422363,27.5599994659424,29.1100006103516,6474800,29.1100006103516
"38",2020-05-26,30.5,33.5,29.6599998474121,33.3899993896484,11200600,33.3899993896484
"39",2020-05-27,34.4599990844727,35.6500015258789,31.9899997711182,35.1500015258789,15697100,35.1500015258789
"40",2020-05-28,35.7099990844727,39.5999984741211,34.6199989318848,37.25,23177600,37.25
"41",2020-05-29,37,39.8699989318848,36.6500015258789,39.7000007629395,14844000,39.7000007629395
"42",2020-06-01,40.7400016784668,43.9799995422363,40.0099983215332,43.7000007629395,20525200,43.7000007629395
"43",2020-06-02,44.5400009155273,44.7900009155273,39.7999992370605,41.2700004577637,27807800,41.2700004577637
"44",2020-06-03,41.5099983215332,42.4799995422363,38.5499992370605,40.1599998474121,20116700,40.1599998474121
"45",2020-06-04,39.0099983215332,42.4749984741211,38.7999992370605,40.5299987792969,14722200,40.5299987792969
"46",2020-06-05,41.5299987792969,41.5900001525879,39.060001373291,39.3400001525879,9699500,39.3400001525879
"47",2020-06-08,39.9300003051758,39.9300003051758,35.5499992370605,38,15237000,38
"48",2020-06-09,37.7999992370605,40.5999984741211,37.1800003051758,39.4099998474121,8798500,39.4099998474121
"49",2020-06-10,40.060001373291,40.7999992370605,38.3899993896484,39.1100006103516,7110000,39.1100006103516
"50",2020-06-11,36.2599983215332,38.2000007629395,35.25,36.2799987792969,9994100,36.2799987792969
"51",2020-06-12,37.8899993896484,38.4000015258789,35.7099990844727,36.8800010681152,8143000,36.8800010681152
